#   z  dN/dz
5.000000e-02 4.334365e-01
1.500000e-01 1.083591e+00
2.500000e-01 0.000000e+00
3.500000e-01 0.000000e+00
4.500000e-01 0.000000e+00
5.500000e-01 0.000000e+00
6.500000e-01 3.095975e-02
7.500000e-01 1.052632e+00
8.500000e-01 1.609907e+00
9.500000e-01 1.300310e+00
1.050000e+00 0.000000e+00
1.150000e+00 0.000000e+00
1.250000e+00 1.547988e-01
1.350000e+00 6.811146e-01
1.450000e+00 7.739938e-01
1.550000e+00 3.405573e-01
1.650000e+00 0.000000e+00
1.750000e+00 0.000000e+00
1.850000e+00 0.000000e+00
1.950000e+00 0.000000e+00
2.050000e+00 0.000000e+00
2.150000e+00 0.000000e+00
2.250000e+00 0.000000e+00
2.350000e+00 0.000000e+00
2.450000e+00 0.000000e+00
2.550000e+00 0.000000e+00
2.650000e+00 0.000000e+00
2.750000e+00 0.000000e+00
2.850000e+00 0.000000e+00
2.950000e+00 0.000000e+00
3.050000e+00 0.000000e+00
3.150000e+00 0.000000e+00
3.250000e+00 0.000000e+00
3.350000e+00 0.000000e+00
3.450000e+00 0.000000e+00
3.550000e+00 0.000000e+00
3.650000e+00 0.000000e+00
3.750000e+00 0.000000e+00
3.850000e+00 3.095975e-02
3.950000e+00 0.000000e+00
4.050000e+00 0.000000e+00
4.150000e+00 0.000000e+00
4.250000e+00 0.000000e+00
4.350000e+00 0.000000e+00
4.450000e+00 0.000000e+00
4.550000e+00 0.000000e+00
4.650000e+00 0.000000e+00
4.750000e+00 0.000000e+00
4.850000e+00 0.000000e+00
4.950000e+00 0.000000e+00
5.050000e+00 0.000000e+00
5.150000e+00 0.000000e+00
5.250000e+00 0.000000e+00
5.350000e+00 0.000000e+00
5.450000e+00 0.000000e+00
5.550000e+00 1.547988e-01
5.650000e+00 5.263158e-01
5.750000e+00 5.882353e-01
5.850000e+00 4.953560e-01
5.950000e+00 2.786378e-01
